definition,analysis_unit,rank,name,artist,trials,rejections,observed_rate,baseline_rate,excess_rate,choice_rate,score,z_value,p_value,q_value,rejected_tracks,qualifies
expanded_direct_replacement,recurring_track,4,Arcade,Duncan Laurence,11,6,0.5454545454545454,0.20874585144155022,0.33670869401299525,0.07692307692307693,0.31080802524276485,3.0927221985571727,0.000991648487604101,0.025888663034112122,,True
expanded_direct_replacement,recurring_track,5,m y . l i f e (with 21 Savage & Morray),J. Cole,14,8,0.5714285714285714,0.2279448687624702,0.34348370266610123,0.19047619047619047,0.27805823549160574,3.4584993266247115,0.0002715968152960061,0.025888663034112122,,True
expanded_direct_replacement,recurring_track,6,WAIT FOR U (feat. Drake & Tems),Future,16,8,0.5,0.14494843010839326,0.35505156989160674,0.2692307692307692,0.25946076261309725,4.334846854163079,7.2930816282199655e-06,0.0026623457978710787,,True
expanded_direct_replacement,recurring_track,7,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,29,15,0.5172413793103449,0.23451269801285,0.28272868129749484,0.08823529411764706,0.2577820329477159,4.042083708406151,2.6489156018480667e-05,0.006571718797675794,,True
expanded_direct_replacement,recurring_track,8,If You Want Love,NF,11,6,0.5454545454545454,0.2083013657376746,0.33715317971687087,0.26666666666666666,0.2472456651257053,3.1042404841652944,0.0009538410138020194,0.025888663034112122,,True
expanded_direct_replacement,recurring_track,9,The Night We Met,Lord Huron,24,13,0.5416666666666666,0.26711006363647183,0.27455660303019486,0.18181818181818182,0.2246372206610685,3.4278601740941657,0.0003041793561770516,0.025888663034112122,,True
expanded_direct_replacement,recurring_track,10,Pop Out (feat. Lil Tjay),Polo G,17,9,0.5294117647058824,0.26477979834222726,0.2646319663636551,0.16666666666666666,0.22052663863637925,2.794010690456859,0.0026029378830071045,0.03841991596405489,,True
expanded_direct_replacement,recurring_track,11,Say It,Tory Lanez,14,5,0.35714285714285715,0.11900559772736519,0.23813725941549196,0.15789473684210525,0.2005366395077827,2.8521738518216715,0.002171067276189239,0.037767359957817256,,True
expanded_direct_replacement,recurring_track,12,The Box,Roddy Ricch,25,9,0.36,0.1448436636870957,0.21515633631290426,0.28205128205128205,0.1544712158143928,3.316319416178482,0.0004560575685399347,0.025888663034112122,,True
expanded_direct_replacement,recurring_artist,1,Eyob Mekonen,Eyob Mekonen,40,25,0.625,0.27702089363081683,0.34797910636918317,0.09523809523809523,0.3148382390959276,5.569948461854035,1.2740734934972612e-08,4.701331191004894e-06,12,True
expanded_direct_replacement,recurring_artist,2,21 Savage,21 Savage,45,21,0.4666666666666667,0.2289686622279414,0.23769800443872527,0.2,0.19015840355098024,4.2467133468569385,1.0846460568830933e-05,0.0011435268428281755,7,True
expanded_direct_replacement,recurring_artist,3,Ed Sheeran,Ed Sheeran,36,14,0.3888888888888889,0.19913942563276688,0.189749463256122,0.23076923076923078,0.1459611255816323,3.1704831804040166,0.0007609282151884742,0.021298247067550735,8,True
expanded_direct_replacement,recurring_artist,4,Roddy Ricch,Roddy Ricch,40,13,0.325,0.1652232003662451,0.1597767996337549,0.2545454545454545,0.11910634154516275,2.986575376962206,0.0014106063957991255,0.024209942327901267,2,True
